time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554717076.433421,6,46,192.168.1.149,149.198.52.175,53808,443
1554717076.457181,6,46,149.198.52.175,192.168.1.149,443,53808
1554717128.488909,6,46,192.168.1.149,149.198.52.175,53808,443
1554717128.489211,6,31,192.168.1.149,149.198.52.175,53808,443
1554717145.040112,17,53,192.168.1.149,192.168.1.1,55796,53
1554717145.040347,17,53,192.168.1.149,192.168.1.1,57408,53
1554717145.043608,17,324,192.168.1.1,192.168.1.149,53,55796
1554717145.04384,17,336,192.168.1.1,192.168.1.149,53,57408
1554717145.075714,6,517,192.168.1.149,82.96.232.127,45360,443
1554717145.122076,6,2836,82.96.232.127,192.168.1.149,443,45360
1554717145.126559,6,760,82.96.232.127,192.168.1.149,443,45360
1554717145.132718,6,93,192.168.1.149,82.96.232.127,45360,443
1554717145.133326,6,177,192.168.1.149,82.96.232.127,45360,443
1554717145.133363,6,596,192.168.1.149,82.96.232.127,45360,443
1554717145.156188,6,284,82.96.232.127,192.168.1.149,443,45360
1554717145.156936,6,69,82.96.232.127,192.168.1.149,443,45360
1554717145.156958,6,38,82.96.232.127,192.168.1.149,443,45360
1554717145.157107,6,38,192.168.1.149,82.96.232.127,45360,443
1554717145.157412,6,250,82.96.232.127,192.168.1.149,443,45360
1554717145.158872,6,1418,82.96.232.127,192.168.1.149,443,45360
1554717145.159795,6,2836,82.96.232.127,192.168.1.149,443,45360
1554717145.160628,6,815,82.96.232.127,192.168.1.149,443,45360
1554717145.160937,6,46,192.168.1.149,82.96.232.127,45360,443
1554717158.314781,17,53,192.168.1.149,192.168.1.1,40822,53
1554717158.315121,17,53,192.168.1.149,192.168.1.1,43660,53
1554717158.318481,17,363,192.168.1.1,192.168.1.149,53,40822
1554717158.318675,17,171,192.168.1.1,192.168.1.149,53,43660
1554717158.319467,17,48,192.168.1.149,192.168.1.1,50471,53
1554717158.320369,17,48,192.168.1.1,192.168.1.149,53,50471
1554717158.54898,6,517,192.168.1.149,117.83.34.236,34366,443
1554717158.75338,6,1448,117.83.34.236,192.168.1.149,443,34366
1554717158.754179,6,1918,117.83.34.236,192.168.1.149,443,34366
1554717158.762492,6,126,192.168.1.149,117.83.34.236,34366,443
1554717158.76303,6,804,192.168.1.149,117.83.34.236,34366,443
1554717159.057542,6,51,117.83.34.236,192.168.1.149,443,34366
1554717159.057595,6,239,117.83.34.236,192.168.1.149,443,34366
1554717160.524653,17,55,192.168.1.149,192.168.1.1,41075,53
1554717160.526905,17,55,192.168.1.1,192.168.1.149,53,41075
1554717161.721485,6,87,192.168.1.149,36.39.88.126,46146,80
1554717161.925007,6,148,36.39.88.126,192.168.1.149,80,46146
1554717168.393619,17,49,192.168.1.149,192.168.1.1,51517,53
1554717168.395778,17,325,192.168.1.1,192.168.1.149,53,51517
1554717168.421699,6,588,192.168.1.149,70.40.22.197,55244,443
1554717168.44617,6,156,70.40.22.197,192.168.1.149,443,55244
1554717168.446551,6,51,192.168.1.149,70.40.22.197,55244,443
1554717168.44817,6,177,192.168.1.149,70.40.22.197,55244,443
1554717168.448199,6,599,192.168.1.149,70.40.22.197,55244,443
1554717168.448748,6,509,192.168.1.149,70.40.22.197,55244,443
1554717168.469505,6,69,70.40.22.197,192.168.1.149,443,55244
1554717168.469645,6,38,192.168.1.149,70.40.22.197,55244,443
1554717168.470741,6,38,70.40.22.197,192.168.1.149,443,55244
1554717168.500171,6,243,70.40.22.197,192.168.1.149,443,55244
1554717168.500391,6,240,70.40.22.197,192.168.1.149,443,55244
1554717168.50049,6,46,70.40.22.197,192.168.1.149,443,55244
1554717168.500835,6,46,192.168.1.149,70.40.22.197,55244,443
1554717182.304234,6,31,129.141.205.159,192.168.1.149,443,57700
1554717182.304464,6,35,192.168.1.149,129.141.205.159,57700,443
1554717198.395862,17,49,192.168.1.149,192.168.1.1,55366,53
1554717198.399212,17,325,192.168.1.1,192.168.1.149,53,55366
1554717198.400433,6,195,192.168.1.149,70.40.22.197,55244,443
1554717198.401067,6,505,192.168.1.149,70.40.22.197,55244,443
1554717198.446243,6,79,70.40.22.197,192.168.1.149,443,55244
1554717198.446286,6,281,70.40.22.197,192.168.1.149,443,55244
1554717198.446724,6,46,70.40.22.197,192.168.1.149,443,55244
1554717198.446826,6,46,192.168.1.149,70.40.22.197,55244,443
1554717203.39727,6,46,192.168.1.149,82.96.232.127,45360,443
1554717203.424319,6,46,82.96.232.127,192.168.1.149,443,45360
1554717219.371653,6,31,117.83.34.236,192.168.1.149,443,34366
1554717219.37191,6,31,192.168.1.149,117.83.34.236,34366,443
1554717228.392895,17,49,192.168.1.149,192.168.1.1,55278,53
1554717228.395839,6,190,192.168.1.149,70.40.22.197,55244,443
1554717228.396453,6,505,192.168.1.149,70.40.22.197,55244,443
1554717228.397785,17,393,192.168.1.1,192.168.1.149,53,55278
1554717228.446817,6,79,70.40.22.197,192.168.1.149,443,55244
1554717228.446852,6,354,70.40.22.197,192.168.1.149,443,55244
1554717228.446998,6,46,70.40.22.197,192.168.1.149,443,55244
1554717228.44738,6,46,192.168.1.149,70.40.22.197,55244,443
