time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1570291174.281115,6,116,172.19.98.240,213.123.204.222,43144,22
1570291174.361109,6,404,213.123.204.222,172.19.98.240,22,43144
1570291174.519409,6,116,172.19.98.240,213.123.204.222,43144,22
1570291174.58581,6,116,172.19.98.240,213.123.204.222,43144,22
1570291174.598484,6,132,213.123.204.222,172.19.98.240,22,43144
1570291174.638548,6,500,213.123.204.222,172.19.98.240,22,43144
1570291174.666789,6,1374,213.123.204.222,172.19.98.240,22,43144
1570291174.666934,6,1374,213.123.204.222,172.19.98.240,22,43144
1570291174.666979,6,1374,213.123.204.222,172.19.98.240,22,43144
1570291174.667006,6,1374,213.123.204.222,172.19.98.240,22,43144
1570291174.679196,6,472,213.123.204.222,172.19.98.240,22,43144
1570291174.680173,6,84,172.19.98.240,213.123.204.222,43144,22
1570291174.717911,6,388,213.123.204.222,172.19.98.240,22,43144
1570291175.252065,6,132,172.19.98.240,213.123.204.222,43144,22
1570291175.332474,6,372,213.123.204.222,172.19.98.240,22,43144
1570291175.740945,6,132,172.19.98.240,213.123.204.222,43144,22
1570291175.819782,6,148,213.123.204.222,172.19.98.240,22,43144
1570291176.071477,6,132,172.19.98.240,213.123.204.222,43144,22
1570291176.151982,6,132,213.123.204.222,172.19.98.240,22,43144
1570291176.576948,6,132,172.19.98.240,213.123.204.222,43144,22
1570291176.656348,6,148,213.123.204.222,172.19.98.240,22,43144
1570291176.87088,6,116,172.19.98.240,213.123.204.222,43144,22
1570291176.949801,6,116,213.123.204.222,172.19.98.240,22,43144
1570291176.988776,6,324,213.123.204.222,172.19.98.240,22,43144
1570291177.917903,6,132,172.19.98.240,213.123.204.222,43144,22
1570291177.997925,6,148,213.123.204.222,172.19.98.240,22,43144
1570291178.725041,6,132,172.19.98.240,213.123.204.222,43144,22
1570291178.805274,6,132,213.123.204.222,172.19.98.240,22,43144
1570291178.895776,6,132,172.19.98.240,213.123.204.222,43144,22
1570291178.974105,6,148,213.123.204.222,172.19.98.240,22,43144
1570291179.280455,6,132,172.19.98.240,213.123.204.222,43144,22
1570291179.36045,6,132,213.123.204.222,172.19.98.240,22,43144
1570291179.702658,6,132,172.19.98.240,213.123.204.222,43144,22
1570291179.782766,6,212,213.123.204.222,172.19.98.240,22,43144
1570291180.348306,6,116,172.19.98.240,213.123.204.222,43144,22
1570291180.429172,6,116,213.123.204.222,172.19.98.240,22,43144
1570291180.469164,6,788,213.123.204.222,172.19.98.240,22,43144
1570291183.511228,6,116,172.19.98.240,213.123.204.222,43144,22
1570291183.571702,6,116,172.19.98.240,213.123.204.222,43144,22
1570291183.590867,6,116,213.123.204.222,172.19.98.240,22,43144
1570291183.64913,6,116,213.123.204.222,172.19.98.240,22,43144
1570291184.170138,6,116,172.19.98.240,213.123.204.222,43144,22
1570291184.249142,6,116,213.123.204.222,172.19.98.240,22,43144
1570291184.256032,6,116,172.19.98.240,213.123.204.222,43144,22
1570291184.33431,6,116,213.123.204.222,172.19.98.240,22,43144
1570291184.36333,6,116,172.19.98.240,213.123.204.222,43144,22
1570291184.441265,6,116,213.123.204.222,172.19.98.240,22,43144
1570291184.750338,6,116,172.19.98.240,213.123.204.222,43144,22
1570291184.829816,6,116,213.123.204.222,172.19.98.240,22,43144
1570291184.847286,6,116,172.19.98.240,213.123.204.222,43144,22
1570291184.906739,6,116,172.19.98.240,213.123.204.222,43144,22
1570291184.92531,6,116,213.123.204.222,172.19.98.240,22,43144
1570291185.000877,6,116,172.19.98.240,213.123.204.222,43144,22
1570291185.007553,6,116,213.123.204.222,172.19.98.240,22,43144
1570291185.090398,6,132,213.123.204.222,172.19.98.240,22,43144
1570291185.82071,6,116,172.19.98.240,213.123.204.222,43144,22
1570291185.897789,6,116,172.19.98.240,213.123.204.222,43144,22
1570291185.899728,6,116,213.123.204.222,172.19.98.240,22,43144
1570291185.976472,6,116,213.123.204.222,172.19.98.240,22,43144
1570291186.116008,6,116,172.19.98.240,213.123.204.222,43144,22
1570291186.206424,6,132,213.123.204.222,172.19.98.240,22,43144
1570291186.513357,6,116,172.19.98.240,213.123.204.222,43144,22
1570291186.592337,6,148,213.123.204.222,172.19.98.240,22,43144
1570291186.617053,6,1374,213.123.204.222,172.19.98.240,22,43144
1570291186.631363,6,970,213.123.204.222,172.19.98.240,22,43144
1570291186.930043,6,132,172.19.98.240,213.123.204.222,43144,22
1570291187.009192,6,372,213.123.204.222,172.19.98.240,22,43144
