packet_id,time,proto,data_len,ip_src,ip_dst,src_port,dst_port
0,1551434077.156869,6,216,192.168.1.149,216.58.211.46,44724,443
1,1551434077.15757,6,46,192.168.1.149,216.58.211.46,44724,443
2,1551434077.175867,6,46,216.58.211.46,192.168.1.149,443,44724
3,1551434077.234692,6,172,216.58.211.46,192.168.1.149,443,44724
4,1551434077.234735,6,107,216.58.211.46,192.168.1.149,443,44724
5,1551434077.234959,6,121,216.58.211.46,192.168.1.149,443,44724
6,1551434077.263487,6,224,192.168.1.149,130.206.193.108,41570,443
7,1551434077.263669,6,224,192.168.1.149,130.206.193.108,41572,443
8,1551434077.290299,6,1448,130.206.193.108,192.168.1.149,443,41570
9,1551434077.291182,6,1448,130.206.193.108,192.168.1.149,443,41570
10,1551434077.291224,6,241,130.206.193.108,192.168.1.149,443,41570
11,1551434077.291483,6,1448,130.206.193.108,192.168.1.149,443,41572
12,1551434077.291507,6,1448,130.206.193.108,192.168.1.149,443,41572
13,1551434077.291518,6,241,130.206.193.108,192.168.1.149,443,41572
14,1551434077.294296,6,258,192.168.1.149,130.206.193.108,41570,443
15,1551434077.295122,6,258,192.168.1.149,130.206.193.108,41572,443
16,1551434077.311203,6,278,130.206.193.108,192.168.1.149,443,41570
17,1551434077.313262,6,278,130.206.193.108,192.168.1.149,443,41572
18,1551434077.314966,6,456,192.168.1.149,130.206.193.108,41570,443
19,1551434077.315038,6,462,192.168.1.149,130.206.193.108,41572,443
20,1551434077.332925,6,216,130.206.193.108,192.168.1.149,443,41570
21,1551434077.332944,6,216,130.206.193.108,192.168.1.149,443,41572
22,1551434077.598094,6,1418,216.58.211.46,192.168.1.149,443,44724
23,1551434077.598135,6,1418,216.58.211.46,192.168.1.149,443,44724
24,1551434077.598811,6,1418,216.58.211.46,192.168.1.149,443,44724
25,1551434077.598835,6,1418,216.58.211.46,192.168.1.149,443,44724
26,1551434077.598846,6,1418,216.58.211.46,192.168.1.149,443,44724
27,1551434077.614903,6,1418,216.58.211.46,192.168.1.149,443,44724
28,1551434077.615783,6,1418,216.58.211.46,192.168.1.149,443,44724
29,1551434077.616909,6,1418,216.58.211.46,192.168.1.149,443,44724
30,1551434077.61694,6,1418,216.58.211.46,192.168.1.149,443,44724
31,1551434077.618462,6,1418,216.58.211.46,192.168.1.149,443,44724
32,1551434077.618489,6,1418,216.58.211.46,192.168.1.149,443,44724
33,1551434077.619846,6,1418,216.58.211.46,192.168.1.149,443,44724
34,1551434077.619878,6,1418,216.58.211.46,192.168.1.149,443,44724
35,1551434077.620136,6,998,216.58.211.46,192.168.1.149,443,44724
36,1551434077.646576,6,1418,216.58.211.46,192.168.1.149,443,44724
37,1551434077.647151,6,1418,216.58.211.46,192.168.1.149,443,44724
38,1551434077.64721,6,1418,216.58.211.46,192.168.1.149,443,44724
39,1551434077.647274,6,1418,216.58.211.46,192.168.1.149,443,44724
40,1551434077.648831,6,1418,216.58.211.46,192.168.1.149,443,44724
41,1551434077.648911,6,1418,216.58.211.46,192.168.1.149,443,44724
42,1551434077.649472,6,1418,216.58.211.46,192.168.1.149,443,44724
43,1551434077.649519,6,1418,216.58.211.46,192.168.1.149,443,44724
44,1551434077.649965,6,1418,216.58.211.46,192.168.1.149,443,44724
45,1551434077.650048,6,1418,216.58.211.46,192.168.1.149,443,44724
46,1551434077.651165,6,1418,216.58.211.46,192.168.1.149,443,44724
47,1551434077.651305,6,1418,216.58.211.46,192.168.1.149,443,44724
48,1551434077.652184,6,1418,216.58.211.46,192.168.1.149,443,44724
49,1551434077.652335,6,1418,216.58.211.46,192.168.1.149,443,44724
50,1551434077.653717,6,1418,216.58.211.46,192.168.1.149,443,44724
51,1551434077.653858,6,1418,216.58.211.46,192.168.1.149,443,44724
52,1551434077.654791,6,1418,216.58.211.46,192.168.1.149,443,44724
53,1551434077.654949,6,1418,216.58.211.46,192.168.1.149,443,44724
54,1551434077.655856,6,1384,216.58.211.46,192.168.1.149,443,44724
55,1551434077.661772,6,38,216.58.211.46,192.168.1.149,443,44724
56,1551434077.66203,6,46,216.58.211.46,192.168.1.149,443,44724
57,1551434077.662887,6,46,192.168.1.149,216.58.211.46,44724,443
58,1551434077.715753,6,786,192.168.1.149,216.58.211.46,44724,443
59,1551434077.734728,6,90,192.168.1.149,216.58.211.46,44724,443
60,1551434077.734774,6,1368,192.168.1.149,216.58.211.46,44724,443
61,1551434077.734929,6,1368,192.168.1.149,216.58.211.46,44724,443
62,1551434077.735107,6,90,192.168.1.149,216.58.211.46,44724,443
63,1551434077.755731,6,167,216.58.211.46,192.168.1.149,443,44724
64,1551434077.755985,6,38,216.58.211.46,192.168.1.149,443,44724
65,1551434077.756102,6,46,216.58.211.46,192.168.1.149,443,44724
