packet_id,time,proto,data_len,ip_src,ip_dst,src_port,dst_port
0,1554879149.368011,6,39,192.168.1.149,108.246.187.137,43588,443
1,1554879149.368064,6,46,192.168.1.149,186.211.64.67,46280,443
2,1554879149.381158,6,6,108.246.187.137,192.168.1.149,443,43588
3,1554879149.383092,6,39,108.246.187.137,192.168.1.149,443,43588
4,1554879149.384187,6,46,186.211.64.67,192.168.1.149,443,46280
5,1554879152.368685,6,46,192.168.1.149,140.158.106.39,39022,443
6,1554879152.404051,6,46,140.158.106.39,192.168.1.149,443,39022
7,1554879154.572147,6,517,192.168.1.149,135.245.24.244,43030,443
8,1554879154.774801,6,1448,135.245.24.244,192.168.1.149,443,43030
9,1554879154.774841,6,1448,135.245.24.244,192.168.1.149,443,43030
10,1554879154.774862,6,116,135.245.24.244,192.168.1.149,443,43030
11,1554879154.779503,6,126,192.168.1.149,135.245.24.244,43030,443
12,1554879154.77989,6,492,192.168.1.149,135.245.24.244,43030,443
13,1554879154.981143,6,274,135.245.24.244,192.168.1.149,443,43030
14,1554879154.981638,6,1448,135.245.24.244,192.168.1.149,443,43030
15,1554879154.981672,6,1448,135.245.24.244,192.168.1.149,443,43030
16,1554879154.981678,6,1448,135.245.24.244,192.168.1.149,443,43030
17,1554879154.981688,6,1448,135.245.24.244,192.168.1.149,443,43030
18,1554879154.981698,6,1448,135.245.24.244,192.168.1.149,443,43030
19,1554879154.981709,6,1448,135.245.24.244,192.168.1.149,443,43030
20,1554879154.981713,6,1448,135.245.24.244,192.168.1.149,443,43030
21,1554879154.981721,6,1448,135.245.24.244,192.168.1.149,443,43030
22,1554879154.981725,6,1448,135.245.24.244,192.168.1.149,443,43030
23,1554879155.184197,6,1448,135.245.24.244,192.168.1.149,443,43030
24,1554879155.184232,6,1448,135.245.24.244,192.168.1.149,443,43030
25,1554879155.185202,6,1448,135.245.24.244,192.168.1.149,443,43030
26,1554879155.185228,6,1448,135.245.24.244,192.168.1.149,443,43030
27,1554879155.185277,6,1448,135.245.24.244,192.168.1.149,443,43030
28,1554879155.185294,6,1448,135.245.24.244,192.168.1.149,443,43030
29,1554879155.185324,6,1448,135.245.24.244,192.168.1.149,443,43030
30,1554879155.185338,6,1448,135.245.24.244,192.168.1.149,443,43030
31,1554879155.185366,6,1448,135.245.24.244,192.168.1.149,443,43030
32,1554879155.185392,6,1448,135.245.24.244,192.168.1.149,443,43030
33,1554879155.18542,6,1448,135.245.24.244,192.168.1.149,443,43030
34,1554879155.185433,6,1448,135.245.24.244,192.168.1.149,443,43030
35,1554879155.18546,6,1448,135.245.24.244,192.168.1.149,443,43030
36,1554879155.185473,6,1448,135.245.24.244,192.168.1.149,443,43030
37,1554879155.1855,6,1448,135.245.24.244,192.168.1.149,443,43030
38,1554879155.185512,6,1448,135.245.24.244,192.168.1.149,443,43030
39,1554879155.185539,6,1448,135.245.24.244,192.168.1.149,443,43030
40,1554879155.185552,6,1448,135.245.24.244,192.168.1.149,443,43030
41,1554879155.185579,6,1448,135.245.24.244,192.168.1.149,443,43030
42,1554879155.185593,6,1448,135.245.24.244,192.168.1.149,443,43030
43,1554879155.391507,6,1448,135.245.24.244,192.168.1.149,443,43030
44,1554879155.391533,6,1448,135.245.24.244,192.168.1.149,443,43030
45,1554879155.391587,6,1448,135.245.24.244,192.168.1.149,443,43030
46,1554879155.391596,6,1448,135.245.24.244,192.168.1.149,443,43030
47,1554879155.391752,6,1448,135.245.24.244,192.168.1.149,443,43030
48,1554879155.391768,6,1448,135.245.24.244,192.168.1.149,443,43030
49,1554879155.391797,6,1448,135.245.24.244,192.168.1.149,443,43030
50,1554879155.391804,6,1448,135.245.24.244,192.168.1.149,443,43030
51,1554879155.391808,6,1448,135.245.24.244,192.168.1.149,443,43030
52,1554879155.391812,6,1448,135.245.24.244,192.168.1.149,443,43030
53,1554879155.391816,6,1448,135.245.24.244,192.168.1.149,443,43030
54,1554879155.391819,6,1448,135.245.24.244,192.168.1.149,443,43030
55,1554879155.391823,6,1448,135.245.24.244,192.168.1.149,443,43030
56,1554879155.391827,6,1448,135.245.24.244,192.168.1.149,443,43030
57,1554879155.391831,6,1448,135.245.24.244,192.168.1.149,443,43030
58,1554879155.391834,6,1448,135.245.24.244,192.168.1.149,443,43030
59,1554879155.391839,6,1448,135.245.24.244,192.168.1.149,443,43030
60,1554879155.391843,6,1448,135.245.24.244,192.168.1.149,443,43030
61,1554879155.391847,6,1448,135.245.24.244,192.168.1.149,443,43030
62,1554879155.391851,6,1448,135.245.24.244,192.168.1.149,443,43030
63,1554879155.391855,6,1448,135.245.24.244,192.168.1.149,443,43030
64,1554879155.391859,6,1448,135.245.24.244,192.168.1.149,443,43030
65,1554879155.391864,6,1448,135.245.24.244,192.168.1.149,443,43030
66,1554879155.391868,6,1448,135.245.24.244,192.168.1.149,443,43030
67,1554879155.391877,6,1448,135.245.24.244,192.168.1.149,443,43030
68,1554879155.391881,6,1448,135.245.24.244,192.168.1.149,443,43030
69,1554879155.391885,6,1448,135.245.24.244,192.168.1.149,443,43030
70,1554879155.391889,6,1448,135.245.24.244,192.168.1.149,443,43030
71,1554879155.391895,6,1448,135.245.24.244,192.168.1.149,443,43030
72,1554879155.3919,6,1448,135.245.24.244,192.168.1.149,443,43030
73,1554879155.391906,6,1448,135.245.24.244,192.168.1.149,443,43030
74,1554879155.391911,6,1448,135.245.24.244,192.168.1.149,443,43030
75,1554879155.39192,6,1448,135.245.24.244,192.168.1.149,443,43030
76,1554879155.391929,6,1448,135.245.24.244,192.168.1.149,443,43030
77,1554879155.392248,6,1448,135.245.24.244,192.168.1.149,443,43030
78,1554879155.392263,6,1448,135.245.24.244,192.168.1.149,443,43030
79,1554879155.392288,6,1448,135.245.24.244,192.168.1.149,443,43030
80,1554879155.392297,6,1448,135.245.24.244,192.168.1.149,443,43030
81,1554879155.392316,6,1448,135.245.24.244,192.168.1.149,443,43030
82,1554879155.392326,6,1448,135.245.24.244,192.168.1.149,443,43030
83,1554879155.594166,6,1448,135.245.24.244,192.168.1.149,443,43030
84,1554879155.594205,6,1448,135.245.24.244,192.168.1.149,443,43030
85,1554879155.595485,6,1448,135.245.24.244,192.168.1.149,443,43030
86,1554879155.595515,6,1448,135.245.24.244,192.168.1.149,443,43030
87,1554879155.595564,6,1448,135.245.24.244,192.168.1.149,443,43030
88,1554879155.595575,6,1448,135.245.24.244,192.168.1.149,443,43030
89,1554879155.595585,6,1448,135.245.24.244,192.168.1.149,443,43030
90,1554879155.595594,6,1448,135.245.24.244,192.168.1.149,443,43030
91,1554879155.595602,6,1448,135.245.24.244,192.168.1.149,443,43030
92,1554879155.595612,6,1448,135.245.24.244,192.168.1.149,443,43030
93,1554879155.595622,6,1448,135.245.24.244,192.168.1.149,443,43030
94,1554879155.595632,6,1448,135.245.24.244,192.168.1.149,443,43030
95,1554879155.595645,6,1448,135.245.24.244,192.168.1.149,443,43030
96,1554879155.595654,6,1448,135.245.24.244,192.168.1.149,443,43030
97,1554879155.595664,6,1448,135.245.24.244,192.168.1.149,443,43030
98,1554879155.595676,6,1448,135.245.24.244,192.168.1.149,443,43030
99,1554879155.595686,6,115,135.245.24.244,192.168.1.149,443,43030
100,1554879155.982082,17,44,192.168.1.149,192.168.1.1,47445,53
101,1554879155.982193,17,44,192.168.1.149,192.168.1.1,45363,53
102,1554879155.985218,17,308,192.168.1.1,192.168.1.149,53,47445
103,1554879155.985238,17,320,192.168.1.1,192.168.1.149,53,45363
104,1554879155.993353,6,155,192.168.1.149,179.79.219.143,53074,443
105,1554879156.044505,6,181,192.168.1.149,145.142.25.160,40880,443
106,1554879156.044738,6,38,192.168.1.149,145.142.25.160,40880,443
107,1554879156.050565,6,345,179.79.219.143,192.168.1.149,443,53074
108,1554879156.05075,6,153,192.168.1.149,145.142.25.160,40880,443
109,1554879156.050835,6,38,179.79.219.143,192.168.1.149,443,53074
110,1554879156.050941,6,46,179.79.219.143,192.168.1.149,443,53074
111,1554879156.051115,6,46,192.168.1.149,179.79.219.143,53074,443
112,1554879156.079947,6,149,145.142.25.160,192.168.1.149,443,40880
113,1554879156.079964,6,38,145.142.25.160,192.168.1.149,443,40880
114,1554879156.080244,6,46,145.142.25.160,192.168.1.149,443,40880
115,1554879156.080296,6,46,192.168.1.149,145.142.25.160,40880,443
116,1554879156.085238,6,149,145.142.25.160,192.168.1.149,443,40880
