time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554135250.402407,6,737,192.168.1.80,216.58.211.46,50538,443
1554135250.40319,6,38,192.168.1.80,216.58.211.46,50538,443
1554135250.457027,6,87,216.58.211.46,192.168.1.80,443,50538
1554135250.457052,6,38,216.58.211.46,192.168.1.80,443,50538
1554135250.457056,6,46,216.58.211.46,192.168.1.80,443,50538
1554135250.457661,6,46,192.168.1.80,216.58.211.46,50538,443
1554135251.032317,6,317,192.168.1.80,216.58.211.46,50538,443
1554135251.032774,6,1368,192.168.1.80,216.58.211.46,50538,443
1554135251.032899,6,1368,192.168.1.80,216.58.211.46,50538,443
1554135251.033173,6,1368,192.168.1.80,216.58.211.46,50538,443
1554135251.033179,6,1368,192.168.1.80,216.58.211.46,50538,443
1554135251.033457,6,1368,192.168.1.80,216.58.211.46,50538,443
1554135251.033462,6,1368,192.168.1.80,216.58.211.46,50538,443
1554135251.033795,6,1368,192.168.1.80,216.58.211.46,50538,443
1554135251.034423,6,135,192.168.1.80,216.58.211.46,50538,443
1554135251.111514,6,274,216.58.211.46,192.168.1.80,443,50538
1554135251.111551,6,546,216.58.211.46,192.168.1.80,443,50538
1554135251.111569,6,46,216.58.211.46,192.168.1.80,443,50538
1554135251.112478,6,46,192.168.1.80,216.58.211.46,50538,443
1554135252.415781,6,1250,192.168.1.80,216.58.211.46,50538,443
1554135252.525025,6,87,216.58.211.46,192.168.1.80,443,50538
1554135252.525055,6,38,216.58.211.46,192.168.1.80,443,50538
1554135252.525063,6,46,216.58.211.46,192.168.1.80,443,50538
1554135252.525536,6,46,192.168.1.80,216.58.211.46,50538,443
1554135254.226427,17,55,192.168.1.80,80.58.61.250,59235,53
1554135254.226583,17,55,192.168.1.80,80.58.61.250,53959,53
1554135254.228973,6,201,192.168.1.80,216.58.211.46,50538,443
1554135254.242022,17,167,80.58.61.250,192.168.1.80,53,59235
1554135254.244389,17,83,80.58.61.250,192.168.1.80,53,53959
1554135254.265906,6,173,216.58.211.46,192.168.1.80,443,50538
1554135254.265922,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.265947,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.26595,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.265955,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.265958,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.265964,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.265966,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.265971,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.265973,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.265982,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.265986,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.265994,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.265996,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266001,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266004,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266009,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266012,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266018,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.26602,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266025,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266027,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266032,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266036,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266043,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266047,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266052,6,868,216.58.211.46,192.168.1.80,443,50538
1554135254.266054,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266059,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266061,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266066,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.266068,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.26797,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.267984,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268006,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268009,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268014,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.26802,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268029,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268032,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268037,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.26804,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268044,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268046,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.26805,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268052,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268056,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268062,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268066,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268069,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268073,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268077,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268084,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268087,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268091,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268094,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.268098,6,1418,216.58.211.46,192.168.1.80,443,50538
1554135254.2681,6,1418,216.58.211.46,192.168.1.80,443,50538
