time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551426466.462411,17,180,192.168.1.149,239.255.255.250,58975,1900
1551426466.580581,17,55,192.168.1.149,192.168.1.1,59603,53
1551426466.584002,17,326,192.168.1.1,192.168.1.149,53,59603
1551426466.607899,6,213,192.168.1.149,172.217.168.163,48786,443
1551426466.661645,6,1418,172.217.168.163,192.168.1.149,443,48786
1551426466.661706,6,1418,172.217.168.163,192.168.1.149,443,48786
1551426466.661758,6,996,172.217.168.163,192.168.1.149,443,48786
1551426466.662587,6,93,192.168.1.149,172.217.168.163,48786,443
1551426466.67942,6,284,172.217.168.163,192.168.1.149,443,48786
1551426466.679682,6,69,172.217.168.163,192.168.1.149,443,48786
1551426466.685061,6,93,192.168.1.149,172.217.168.163,48786,443
1551426466.68631,17,40,192.168.1.149,192.168.1.1,33687,53
1551426466.686359,6,38,192.168.1.149,172.217.168.163,48786,443
1551426466.686898,6,263,192.168.1.149,172.217.168.163,48786,443
1551426466.689904,17,304,192.168.1.1,192.168.1.149,53,33687
1551426466.703884,6,38,172.217.168.163,192.168.1.149,443,48786
1551426466.71134,6,202,192.168.1.149,216.58.201.164,46328,443
1551426466.747211,6,181,172.217.168.163,192.168.1.149,443,48786
1551426466.747309,6,38,172.217.168.163,192.168.1.149,443,48786
1551426466.747772,6,46,172.217.168.163,192.168.1.149,443,48786
1551426466.752483,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426466.753032,6,1148,216.58.201.164,192.168.1.149,443,46328
1551426466.760368,6,46,192.168.1.149,172.217.168.163,48786,443
1551426467.221415,6,258,192.168.1.149,216.58.201.164,46328,443
1551426467.223178,6,93,192.168.1.149,216.58.201.164,46328,443
1551426467.223443,6,816,192.168.1.149,216.58.201.164,46328,443
1551426467.223997,6,685,192.168.1.149,216.58.201.164,46328,443
1551426467.238162,6,321,216.58.201.164,192.168.1.149,443,46328
1551426467.239064,6,69,216.58.201.164,192.168.1.149,443,46328
1551426467.239173,6,38,216.58.201.164,192.168.1.149,443,46328
1551426467.240042,6,207,192.168.1.149,216.58.211.205,58374,443
1551426467.240068,6,38,192.168.1.149,216.58.201.164,46328,443
1551426467.263276,6,199,216.58.201.164,192.168.1.149,443,46328
1551426467.263386,6,38,216.58.201.164,192.168.1.149,443,46328
1551426467.263646,6,46,216.58.201.164,192.168.1.149,443,46328
1551426467.264251,6,46,192.168.1.149,216.58.201.164,46328,443
1551426467.265366,6,74,216.58.201.164,192.168.1.149,443,46328
1551426467.265615,6,38,216.58.201.164,192.168.1.149,443,46328
1551426467.275117,6,161,216.58.201.164,192.168.1.149,443,46328
1551426467.275562,6,132,216.58.201.164,192.168.1.149,443,46328
1551426467.275663,6,39,216.58.201.164,192.168.1.149,443,46328
1551426467.276171,6,38,216.58.201.164,192.168.1.149,443,46328
1551426467.284381,6,1418,216.58.211.205,192.168.1.149,443,58374
1551426467.285543,6,1418,216.58.211.205,192.168.1.149,443,58374
1551426467.285575,6,133,216.58.211.205,192.168.1.149,443,58374
1551426467.286591,6,258,192.168.1.149,216.58.211.205,58374,443
1551426467.290283,6,93,192.168.1.149,216.58.211.205,58374,443
1551426467.291164,6,616,192.168.1.149,216.58.211.205,58374,443
1551426467.302955,6,321,216.58.211.205,192.168.1.149,443,58374
1551426467.303005,6,69,216.58.211.205,192.168.1.149,443,58374
1551426467.303404,6,38,192.168.1.149,216.58.211.205,58374,443
1551426467.307661,6,38,216.58.211.205,192.168.1.149,443,58374
1551426467.335664,6,634,216.58.211.205,192.168.1.149,443,58374
1551426467.335877,6,298,216.58.211.205,192.168.1.149,443,58374
1551426467.335965,6,275,216.58.211.205,192.168.1.149,443,58374
1551426467.336488,6,119,216.58.201.164,192.168.1.149,443,46328
1551426467.337087,6,46,192.168.1.149,216.58.211.205,58374,443
1551426467.337144,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.337836,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.337866,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.338508,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.338536,6,1205,216.58.201.164,192.168.1.149,443,46328
1551426467.338856,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.338879,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.339259,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.339402,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.340111,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.340564,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.341171,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.341311,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.341798,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.341949,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.342776,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.342922,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.343534,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.343694,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.344393,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.344546,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.345348,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.345496,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.346145,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.346297,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.347013,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.347168,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.347935,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.348092,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.348774,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.348921,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.351465,6,187,192.168.1.149,216.58.201.164,46328,443
1551426467.35384,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.353986,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.354686,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.354838,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.355577,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.355727,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.356479,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.356628,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.357319,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.357449,6,920,216.58.201.164,192.168.1.149,443,46328
1551426467.359144,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.35958,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.359852,6,151,192.168.1.149,216.58.201.164,46328,443
1551426467.359875,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.360442,6,1418,216.58.201.164,192.168.1.149,443,46328
1551426467.360721,6,544,216.58.201.164,192.168.1.149,443,46328
1551426467.360833,6,46,216.58.201.164,192.168.1.149,443,46328
1551426467.36128,6,46,192.168.1.149,216.58.201.164,46328,443
1551426467.367681,6,286,192.168.1.149,216.58.201.164,46328,443
1551426467.400878,6,149,216.58.201.164,192.168.1.149,443,46328
1551426467.400899,6,38,216.58.201.164,192.168.1.149,443,46328
1551426467.401137,6,46,216.58.201.164,192.168.1.149,443,46328
1551426467.402129,6,46,192.168.1.149,216.58.201.164,46328,443
1551426467.407293,6,78,216.58.201.164,192.168.1.149,443,46328
1551426467.407376,6,318,216.58.201.164,192.168.1.149,443,46328
1551426467.407807,6,39,216.58.201.164,192.168.1.149,443,46328
1551426467.407916,6,38,216.58.201.164,192.168.1.149,443,46328
1551426467.408685,6,74,216.58.201.164,192.168.1.149,443,46328
1551426467.409413,6,38,216.58.201.164,192.168.1.149,443,46328
1551426467.451675,6,204,192.168.1.149,216.58.201.164,46328,443
1551426467.462941,17,180,192.168.1.149,239.255.255.250,58975,1900
1551426467.51086,6,78,216.58.201.164,192.168.1.149,443,46328
1551426467.51089,6,336,216.58.201.164,192.168.1.149,443,46328
1551426467.511141,6,39,216.58.201.164,192.168.1.149,443,46328
1551426467.511258,6,38,216.58.201.164,192.168.1.149,443,46328
1551426467.511752,6,46,216.58.201.164,192.168.1.149,443,46328
1551426467.512298,6,46,192.168.1.149,216.58.201.164,46328,443
1551426467.581091,6,188,192.168.1.149,216.58.201.164,46328,443
1551426467.638929,6,78,216.58.201.164,192.168.1.149,443,46328
1551426467.639212,6,327,216.58.201.164,192.168.1.149,443,46328
1551426467.639308,6,39,216.58.201.164,192.168.1.149,443,46328
1551426467.63957,6,38,216.58.201.164,192.168.1.149,443,46328
1551426467.639667,6,46,216.58.201.164,192.168.1.149,443,46328
1551426467.639946,6,46,192.168.1.149,216.58.201.164,46328,443
1551426467.72997,6,189,192.168.1.149,216.58.201.164,46328,443
1551426467.788981,6,78,216.58.201.164,192.168.1.149,443,46328
1551426467.789015,6,320,216.58.201.164,192.168.1.149,443,46328
1551426467.789222,6,39,216.58.201.164,192.168.1.149,443,46328
1551426467.789336,6,38,216.58.201.164,192.168.1.149,443,46328
1551426467.789353,6,46,216.58.201.164,192.168.1.149,443,46328
1551426467.790221,6,46,192.168.1.149,216.58.201.164,46328,443
1551426467.86924,6,191,192.168.1.149,216.58.201.164,46328,443
1551426467.925491,6,78,216.58.201.164,192.168.1.149,443,46328
1551426467.925519,6,321,216.58.201.164,192.168.1.149,443,46328
1551426467.925659,6,39,216.58.201.164,192.168.1.149,443,46328
1551426467.92579,6,38,216.58.201.164,192.168.1.149,443,46328
1551426467.925797,6,46,216.58.201.164,192.168.1.149,443,46328
1551426467.926432,6,46,192.168.1.149,216.58.201.164,46328,443
1551426468.255496,6,192,192.168.1.149,216.58.201.164,46328,443
1551426468.312558,6,78,216.58.201.164,192.168.1.149,443,46328
1551426468.312586,6,312,216.58.201.164,192.168.1.149,443,46328
1551426468.312745,6,39,216.58.201.164,192.168.1.149,443,46328
1551426468.312871,6,38,216.58.201.164,192.168.1.149,443,46328
1551426468.312881,6,46,216.58.201.164,192.168.1.149,443,46328
1551426468.313419,6,46,192.168.1.149,216.58.201.164,46328,443
1551426468.388074,6,193,192.168.1.149,216.58.201.164,46328,443
1551426468.446861,6,78,216.58.201.164,192.168.1.149,443,46328
1551426468.446888,6,413,216.58.201.164,192.168.1.149,443,46328
1551426468.447066,6,39,216.58.201.164,192.168.1.149,443,46328
1551426468.447515,6,38,216.58.201.164,192.168.1.149,443,46328
1551426468.447784,6,46,216.58.201.164,192.168.1.149,443,46328
1551426468.448008,6,46,192.168.1.149,216.58.201.164,46328,443
1551426468.463357,17,180,192.168.1.149,239.255.255.250,58975,1900
1551426468.487935,6,194,192.168.1.149,216.58.201.164,46328,443
1551426468.549877,6,78,216.58.201.164,192.168.1.149,443,46328
1551426468.550115,6,341,216.58.201.164,192.168.1.149,443,46328
1551426468.550257,6,39,216.58.201.164,192.168.1.149,443,46328
1551426468.550271,6,38,216.58.201.164,192.168.1.149,443,46328
1551426468.550276,6,46,216.58.201.164,192.168.1.149,443,46328
1551426468.550985,6,46,192.168.1.149,216.58.201.164,46328,443
1551426468.674913,6,195,192.168.1.149,216.58.201.164,46328,443
1551426468.734513,6,78,216.58.201.164,192.168.1.149,443,46328
1551426468.734536,6,335,216.58.201.164,192.168.1.149,443,46328
1551426468.734708,6,39,216.58.201.164,192.168.1.149,443,46328
1551426468.734831,6,38,216.58.201.164,192.168.1.149,443,46328
1551426468.734842,6,46,216.58.201.164,192.168.1.149,443,46328
1551426468.735412,6,46,192.168.1.149,216.58.201.164,46328,443
1551426468.949989,6,196,192.168.1.149,216.58.201.164,46328,443
1551426469.015126,6,78,216.58.201.164,192.168.1.149,443,46328
1551426469.015168,6,331,216.58.201.164,192.168.1.149,443,46328
1551426469.016358,6,39,216.58.201.164,192.168.1.149,443,46328
1551426469.016415,6,38,216.58.201.164,192.168.1.149,443,46328
1551426469.016711,6,46,216.58.201.164,192.168.1.149,443,46328
1551426469.016788,6,46,192.168.1.149,216.58.201.164,46328,443
1551426469.11516,6,219,192.168.1.149,216.58.201.164,46328,443
1551426469.11794,17,41,192.168.1.149,192.168.1.1,34434,53
1551426469.118314,17,41,192.168.1.149,192.168.1.1,42924,53
1551426469.120675,17,312,192.168.1.1,192.168.1.149,53,34434
1551426469.120693,17,305,192.168.1.1,192.168.1.149,53,42924
1551426469.135556,6,203,192.168.1.149,172.217.168.163,48792,443
1551426469.138308,6,203,192.168.1.149,172.217.16.227,49362,443
1551426469.174404,6,1418,172.217.168.163,192.168.1.149,443,48792
1551426469.174686,6,1418,172.217.168.163,192.168.1.149,443,48792
1551426469.175798,6,1418,172.217.16.227,192.168.1.149,443,49362
1551426469.176067,6,1418,172.217.16.227,192.168.1.149,443,49362
1551426469.176196,6,778,172.217.168.163,192.168.1.149,443,48792
1551426469.177016,6,778,172.217.16.227,192.168.1.149,443,49362
1551426469.177389,6,258,192.168.1.149,172.217.168.163,48792,443
