time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1554879149.368011,6,39,192.168.1.149,108.246.187.137,43588,443
1554879149.368064,6,46,192.168.1.149,186.211.64.67,46280,443
1554879149.381158,6,6,108.246.187.137,192.168.1.149,443,43588
1554879149.383092,6,39,108.246.187.137,192.168.1.149,443,43588
1554879149.384187,6,46,186.211.64.67,192.168.1.149,443,46280
1554879152.368685,6,46,192.168.1.149,140.158.106.39,39022,443
1554879152.404051,6,46,140.158.106.39,192.168.1.149,443,39022
1554879154.572147,6,517,192.168.1.149,135.245.24.244,43030,443
1554879154.774801,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879154.774841,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879154.774862,6,116,135.245.24.244,192.168.1.149,443,43030
1554879154.779503,6,126,192.168.1.149,135.245.24.244,43030,443
1554879154.77989,6,492,192.168.1.149,135.245.24.244,43030,443
1554879154.981143,6,274,135.245.24.244,192.168.1.149,443,43030
1554879154.981638,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879154.981672,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879154.981678,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879154.981688,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879154.981698,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879154.981709,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879154.981713,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879154.981721,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879154.981725,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.184197,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.184232,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185202,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185228,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185277,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185294,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185324,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185338,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185366,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185392,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.18542,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185433,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.18546,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185473,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.1855,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185512,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185539,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185552,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185579,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.185593,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391507,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391533,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391587,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391596,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391752,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391768,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391797,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391804,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391808,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391812,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391816,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391819,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391823,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391827,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391831,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391834,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391839,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391843,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391847,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391851,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391855,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391859,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391864,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391868,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391877,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391881,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391885,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391889,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391895,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.3919,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391906,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391911,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.39192,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.391929,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.392248,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.392263,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.392288,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.392297,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.392316,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.392326,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.594166,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.594205,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.595485,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.595515,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.595564,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.595575,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.595585,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.595594,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.595602,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.595612,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.595622,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.595632,6,1448,135.245.24.244,192.168.1.149,443,43030
1554879155.595645,6,1448,135.245.24.244,192.168.1.149,443,43030
