=== PIE Network Simulation Events ===

00:00.005 - === Starting Packet Generation ===
00:00.006 - === Starting Packet Processing ===
00:00.006 - Generated Packet 0 (size: 58 bytes)
00:00.037 - Generated Packet 1 (size: 230 bytes)
00:00.068 - Generated Packet 2 (size: 603 bytes)
00:00.100 - Generated Packet 3 (size: 1448 bytes)
00:00.130 - Generated Packet 4 (size: 1448 bytes)
00:00.132 - Packet 1 (size: 230 bytes) processed
00:00.161 - Generated Packet 5 (size: 1448 bytes)
00:00.193 - Generated Packet 6 (size: 1448 bytes)
00:00.224 - Generated Packet 7 (size: 1448 bytes)
00:00.254 - Generated Packet 8 (size: 1448 bytes)
00:00.270 - Packet 3 (size: 1448 bytes) processed
00:00.286 - Generated Packet 9 (size: 1448 bytes)
00:00.317 - Generated Packet 10 (size: 1448 bytes)
00:00.348 - Generated Packet 11 (size: 1448 bytes)
00:00.378 - Generated Packet 12 (size: 1448 bytes)
00:00.410 - Packet 5 (size: 1448 bytes) processed
00:00.411 - Generated Packet 13 (size: 1448 bytes)
00:00.441 - Generated Packet 14 (size: 1448 bytes)
00:00.472 - Generated Packet 15 (size: 1448 bytes)
00:00.517 - Generated Packet 16 (size: 1448 bytes)
00:00.576 - Packet 7 (size: 1448 bytes) processed
00:00.599 - Generated Packet 17 (size: 1448 bytes)
00:00.645 - Generated Packet 18 (size: 1448 bytes)
00:00.678 - Generated Packet 19 (size: 1448 bytes)
00:00.709 - Generated Packet 20 (size: 1448 bytes)
00:00.740 - Packet 9 (size: 1448 bytes) processed
00:00.742 - Generated Packet 21 (size: 1448 bytes)
00:00.771 - Generated Packet 22 (size: 1448 bytes)
00:00.803 - Generated Packet 23 (size: 1448 bytes)
00:00.834 - Generated Packet 24 (size: 1448 bytes)
00:00.865 - Generated Packet 25 (size: 1448 bytes)
00:00.880 - Packet 11 (size: 1448 bytes) processed
00:00.897 - Generated Packet 26 (size: 1448 bytes)
00:00.927 - Generated Packet 27 (size: 1448 bytes)
00:00.958 - Generated Packet 28 (size: 1448 bytes)
00:00.990 - Generated Packet 29 (size: 1448 bytes)
00:01.020 - Packet 13 (size: 1448 bytes) processed
00:01.022 - Generated Packet 30 (size: 1448 bytes)
00:01.051 - Generated Packet 31 (size: 1448 bytes)
00:01.081 - Generated Packet 32 (size: 1448 bytes)
00:01.112 - Generated Packet 33 (size: 1448 bytes)
00:01.143 - Generated Packet 34 (size: 1448 bytes)
00:01.159 - Packet 15 (size: 1448 bytes) processed
00:01.175 - Generated Packet 35 (size: 1448 bytes)
00:01.207 - Generated Packet 36 (size: 1448 bytes)
00:01.239 - Generated Packet 37 (size: 1448 bytes)
00:01.270 - Generated Packet 38 (size: 1448 bytes)
00:01.301 - Packet 17 (size: 1448 bytes) processed
00:01.303 - Generated Packet 39 (size: 1448 bytes)
00:01.331 - Generated Packet 40 (size: 1448 bytes)
00:01.363 - Generated Packet 41 (size: 1448 bytes)
00:01.394 - Generated Packet 42 (size: 1448 bytes)
00:01.425 - Generated Packet 43 (size: 1448 bytes)
00:01.441 - Packet 19 (size: 1448 bytes) processed
00:01.456 - Generated Packet 44 (size: 1448 bytes)
00:01.488 - Generated Packet 45 (size: 1448 bytes)
00:01.519 - Generated Packet 46 (size: 1448 bytes)
00:01.550 - Generated Packet 47 (size: 1448 bytes)
00:01.581 - Generated Packet 48 (size: 1448 bytes)
00:01.582 - Packet 21 (size: 1448 bytes) processed
00:01.612 - Generated Packet 49 (size: 1448 bytes)
00:01.643 - Generated Packet 50 (size: 1448 bytes)
00:01.673 - Generated Packet 51 (size: 1448 bytes)
00:01.705 - Generated Packet 52 (size: 1448 bytes)
00:01.721 - Packet 23 (size: 1448 bytes) processed
00:01.738 - Generated Packet 53 (size: 1448 bytes)
00:01.768 - Generated Packet 54 (size: 1448 bytes)
00:01.799 - Generated Packet 55 (size: 1448 bytes)
00:01.830 - Generated Packet 56 (size: 1448 bytes)
00:01.861 - Packet 25 (size: 1448 bytes) processed
00:01.864 - Generated Packet 57 (size: 1448 bytes)
00:01.892 - Generated Packet 58 (size: 1448 bytes)
00:01.922 - Generated Packet 59 (size: 1448 bytes)
00:01.954 - Generated Packet 60 (size: 1448 bytes)
00:01.985 - Generated Packet 61 (size: 1448 bytes)
00:02.001 - Packet 27 (size: 1448 bytes) processed
00:02.016 - Generated Packet 62 (size: 1448 bytes)
00:02.050 - Generated Packet 63 (size: 1448 bytes)
00:02.078 - Generated Packet 64 (size: 1448 bytes)
00:02.109 - Generated Packet 65 (size: 1448 bytes)
00:02.140 - Packet 29 (size: 1448 bytes) processed
00:02.141 - Generated Packet 66 (size: 1448 bytes)
00:02.171 - Generated Packet 67 (size: 1448 bytes)
00:02.201 - Generated Packet 68 (size: 1448 bytes)
00:02.265 - Generated Packet 69 (size: 1448 bytes)
00:02.283 - Packet 31 (size: 1448 bytes) processed
00:02.304 - Generated Packet 70 (size: 1448 bytes)
00:02.343 - Generated Packet 71 (size: 1448 bytes)
00:02.375 - Generated Packet 72 (size: 1448 bytes)
00:02.405 - Generated Packet 73 (size: 1448 bytes)
00:02.420 - Packet 33 (size: 1448 bytes) processed
00:02.435 - Generated Packet 74 (size: 1448 bytes)
00:02.467 - Generated Packet 75 (size: 1448 bytes)
00:02.498 - Generated Packet 76 (size: 1448 bytes)
00:02.528 - Generated Packet 77 (size: 1448 bytes)
00:02.559 - Packet 35 (size: 1448 bytes) processed
00:02.560 - Generated Packet 78 (size: 1448 bytes)
00:02.591 - Generated Packet 79 (size: 1448 bytes)
00:02.623 - Generated Packet 80 (size: 1448 bytes)
00:02.652 - Generated Packet 81 (size: 1448 bytes)
00:02.683 - Generated Packet 82 (size: 1448 bytes)
00:02.698 - Packet 37 (size: 1448 bytes) processed
00:02.724 - Generated Packet 83 (size: 1448 bytes)
00:02.761 - Generated Packet 84 (size: 1448 bytes)
00:02.793 - Generated Packet 85 (size: 1448 bytes)
00:02.825 - Generated Packet 86 (size: 1448 bytes)
00:02.840 - Packet 39 (size: 1448 bytes) processed
00:02.856 - Generated Packet 87 (size: 1448 bytes)
00:02.889 - Generated Packet 88 (size: 1448 bytes)
00:02.918 - Generated Packet 89 (size: 1448 bytes)
00:02.950 - Generated Packet 90 (size: 1448 bytes)
00:02.981 - Packet 41 (size: 1448 bytes) processed
00:02.982 - Generated Packet 91 (size: 1448 bytes)
00:03.011 - Generated Packet 92 (size: 1448 bytes)
00:03.043 - Generated Packet 93 (size: 1448 bytes)
00:03.074 - Generated Packet 94 (size: 1448 bytes)
00:03.106 - Generated Packet 95 (size: 1448 bytes)
00:03.122 - Packet 43 (size: 1448 bytes) processed
00:03.139 - Generated Packet 96 (size: 1448 bytes)
00:03.169 - Generated Packet 97 (size: 1448 bytes)
00:03.199 - Generated Packet 98 (size: 1448 bytes)
00:03.231 - Generated Packet 99 (size: 1448 bytes)
00:03.261 - Generated Packet 100 (size: 1448 bytes)
00:03.267 - Packet 45 (size: 1448 bytes) processed
00:03.292 - Generated Packet 101 (size: 1448 bytes)
00:03.323 - Generated Packet 102 (size: 1448 bytes)
00:03.354 - Generated Packet 103 (size: 1448 bytes)
00:03.386 - Generated Packet 104 (size: 1448 bytes)
00:03.401 - Packet 47 (size: 1448 bytes) processed
00:03.417 - Generated Packet 105 (size: 1448 bytes)
00:03.448 - Generated Packet 106 (size: 1448 bytes)
00:03.480 - Generated Packet 107 (size: 1448 bytes)
00:03.510 - Generated Packet 108 (size: 1448 bytes)
00:03.542 - Generated Packet 109 (size: 1448 bytes)
00:03.544 - Packet 49 (size: 1448 bytes) processed
00:03.574 - Generated Packet 110 (size: 1448 bytes)
00:03.607 - Generated Packet 111 (size: 1448 bytes)
00:03.651 - Generated Packet 112 (size: 1448 bytes)
00:03.682 - Packet 51 (size: 1448 bytes) processed
00:03.684 - Generated Packet 113 (size: 1448 bytes)
00:03.715 - Generated Packet 114 (size: 1448 bytes)
00:03.744 - Generated Packet 115 (size: 1448 bytes)
00:03.776 - Generated Packet 116 (size: 1448 bytes)
00:03.807 - Generated Packet 117 (size: 1448 bytes)
00:03.823 - Packet 53 (size: 1448 bytes) processed
00:03.838 - Generated Packet 118 (size: 1448 bytes)
00:03.871 - Generated Packet 119 (size: 1448 bytes)
00:03.900 - Generated Packet 120 (size: 1448 bytes)
00:03.936 - Generated Packet 121 (size: 1448 bytes)
00:03.964 - Generated Packet 122 (size: 1448 bytes)
00:03.964 - Packet 55 (size: 1448 bytes) processed
00:03.994 - Generated Packet 123 (size: 1448 bytes)
00:04.026 - Generated Packet 124 (size: 1448 bytes)
00:04.057 - Generated Packet 125 (size: 1448 bytes)
00:04.088 - Generated Packet 126 (size: 1448 bytes)
00:04.103 - Packet 57 (size: 1448 bytes) processed
00:04.120 - Generated Packet 127 (size: 1448 bytes)
00:04.149 - Generated Packet 128 (size: 1448 bytes)
00:04.185 - Generated Packet 129 (size: 1448 bytes)
00:04.214 - Generated Packet 130 (size: 1448 bytes)
00:04.244 - Packet 59 (size: 1448 bytes) processed
00:04.250 - Generated Packet 131 (size: 1448 bytes)
00:04.276 - Generated Packet 132 (size: 1448 bytes)
00:04.307 - Generated Packet 133 (size: 1448 bytes)
00:04.338 - Generated Packet 134 (size: 1448 bytes)
00:04.370 - Generated Packet 135 (size: 1448 bytes)
00:04.385 - Packet 61 (size: 1448 bytes) processed
00:04.401 - Generated Packet 136 (size: 1448 bytes)
00:04.435 - Generated Packet 137 (size: 1448 bytes)
00:04.465 - Generated Packet 138 (size: 1448 bytes)
00:04.498 - Generated Packet 139 (size: 1448 bytes)
00:04.527 - Generated Packet 140 (size: 1448 bytes)
00:04.528 - Packet 63 (size: 1448 bytes) processed
00:04.558 - Generated Packet 141 (size: 1448 bytes)
00:04.589 - Generated Packet 142 (size: 1448 bytes)
00:04.624 - Generated Packet 143 (size: 1448 bytes)
00:04.669 - Packet 65 (size: 1448 bytes) processed
00:04.674 - Generated Packet 144 (size: 1448 bytes)
00:04.703 - Generated Packet 145 (size: 1448 bytes)
00:04.728 - Generated Packet 146 (size: 1448 bytes)
00:04.759 - Generated Packet 147 (size: 1448 bytes)
00:04.790 - Generated Packet 148 (size: 1448 bytes)
00:04.805 - Packet 67 (size: 1448 bytes) processed
00:04.821 - Generated Packet 149 (size: 1448 bytes)
00:04.851 - Generated Packet 150 (size: 1448 bytes)
00:04.882 - Generated Packet 151 (size: 1448 bytes)
00:04.913 - Generated Packet 152 (size: 1448 bytes)
00:04.943 - Packet 69 (size: 1448 bytes) processed
00:04.953 - Generated Packet 153 (size: 1448 bytes)
00:04.988 - Generated Packet 154 (size: 1448 bytes)
00:05.020 - Generated Packet 155 (size: 1448 bytes)
00:05.051 - Generated Packet 156 (size: 1448 bytes)
00:05.082 - Generated Packet 157 (size: 1448 bytes)
00:05.098 - Packet 71 (size: 1448 bytes) processed
00:05.116 - Generated Packet 158 (size: 1448 bytes)
00:05.144 - Generated Packet 159 (size: 1448 bytes)
00:05.176 - Generated Packet 160 (size: 1448 bytes)
00:05.207 - Generated Packet 161 (size: 1448 bytes)
00:05.239 - Packet 73 (size: 1448 bytes) processed
00:05.239 - Generated Packet 162 (size: 1448 bytes)
00:05.271 - Generated Packet 163 (size: 1448 bytes)
00:05.300 - Generated Packet 164 (size: 1448 bytes)
00:05.331 - Generated Packet 165 (size: 1448 bytes)
00:05.365 - Generated Packet 166 (size: 1448 bytes)
00:05.382 - Packet 75 (size: 1448 bytes) processed
00:05.409 - Generated Packet 167 (size: 1448 bytes)
00:05.455 - Generated Packet 168 (size: 1448 bytes)
00:05.485 - Generated Packet 169 (size: 1448 bytes)
00:05.517 - Packet 77 (size: 1448 bytes) processed
00:05.522 - Generated Packet 170 (size: 1448 bytes)
