=== PIE Network Simulation Events ===

00:00.005 - === Starting Packet Generation ===
00:00.006 - === Starting Packet Processing ===
00:00.006 - Generated Packet 0 (size: 39 bytes)
00:00.030 - Generated Packet 1 (size: 46 bytes)
00:00.061 - Generated Packet 2 (size: 6 bytes)
00:00.093 - Generated Packet 3 (size: 39 bytes)
00:00.123 - Generated Packet 4 (size: 46 bytes)
00:00.138 - Packet 1 (size: 46 bytes) processed
00:00.154 - Generated Packet 5 (size: 46 bytes)
00:00.186 - Generated Packet 6 (size: 46 bytes)
00:00.216 - Generated Packet 7 (size: 517 bytes)
00:00.247 - Generated Packet 8 (size: 1448 bytes)
00:00.263 - Packet 3 (size: 39 bytes) processed
00:00.279 - Generated Packet 9 (size: 1448 bytes)
00:00.310 - Generated Packet 10 (size: 116 bytes)
00:00.341 - Generated Packet 11 (size: 126 bytes)
00:00.372 - Generated Packet 12 (size: 492 bytes)
00:00.388 - Packet 5 (size: 46 bytes) processed
00:00.403 - Generated Packet 13 (size: 274 bytes)
00:00.436 - Generated Packet 14 (size: 1448 bytes)
00:00.467 - Generated Packet 15 (size: 1448 bytes)
00:00.499 - Generated Packet 16 (size: 1448 bytes)
00:00.514 - Packet 7 (size: 517 bytes) processed
00:00.529 - Generated Packet 17 (size: 1448 bytes)
00:00.561 - Generated Packet 18 (size: 1448 bytes)
00:00.592 - Generated Packet 19 (size: 1448 bytes)
00:00.624 - Generated Packet 20 (size: 1448 bytes)
00:00.656 - Packet 9 (size: 1448 bytes) processed
00:00.657 - Generated Packet 21 (size: 1448 bytes)
00:00.688 - Generated Packet 22 (size: 1448 bytes)
00:00.719 - Generated Packet 23 (size: 1448 bytes)
00:00.750 - Generated Packet 24 (size: 1448 bytes)
00:00.782 - Generated Packet 25 (size: 1448 bytes)
00:00.783 - Packet 11 (size: 126 bytes) processed
00:00.813 - Generated Packet 26 (size: 1448 bytes)
00:00.844 - Generated Packet 27 (size: 1448 bytes)
00:00.876 - Generated Packet 28 (size: 1448 bytes)
00:00.908 - Packet 13 (size: 274 bytes) processed
00:00.910 - Generated Packet 29 (size: 1448 bytes)
00:00.939 - Generated Packet 30 (size: 1448 bytes)
00:00.971 - Generated Packet 31 (size: 1448 bytes)
00:01.003 - Generated Packet 32 (size: 1448 bytes)
00:01.035 - Generated Packet 33 (size: 1448 bytes)
00:01.050 - Packet 15 (size: 1448 bytes) processed
00:01.066 - Generated Packet 34 (size: 1448 bytes)
00:01.096 - Generated Packet 35 (size: 1448 bytes)
00:01.127 - Generated Packet 36 (size: 1448 bytes)
00:01.159 - Generated Packet 37 (size: 1448 bytes)
00:01.191 - Generated Packet 38 (size: 1448 bytes)
00:01.192 - Packet 17 (size: 1448 bytes) processed
00:01.222 - Generated Packet 39 (size: 1448 bytes)
00:01.255 - Generated Packet 40 (size: 1448 bytes)
00:01.286 - Generated Packet 41 (size: 1448 bytes)
00:01.317 - Generated Packet 42 (size: 1448 bytes)
00:01.332 - Packet 19 (size: 1448 bytes) processed
00:01.347 - Generated Packet 43 (size: 1448 bytes)
00:01.379 - Generated Packet 44 (size: 1448 bytes)
00:01.410 - Generated Packet 45 (size: 1448 bytes)
00:01.442 - Generated Packet 46 (size: 1448 bytes)
00:01.473 - Packet 21 (size: 1448 bytes) processed
00:01.474 - Generated Packet 47 (size: 1448 bytes)
00:01.504 - Generated Packet 48 (size: 1448 bytes)
00:01.536 - Generated Packet 49 (size: 1448 bytes)
00:01.567 - Generated Packet 50 (size: 1448 bytes)
00:01.597 - Generated Packet 51 (size: 1448 bytes)
00:01.613 - Packet 23 (size: 1448 bytes) processed
00:01.629 - Generated Packet 52 (size: 1448 bytes)
00:01.660 - Generated Packet 53 (size: 1448 bytes)
00:01.691 - Generated Packet 54 (size: 1448 bytes)
00:01.723 - Generated Packet 55 (size: 1448 bytes)
00:01.755 - Packet 25 (size: 1448 bytes) processed
00:01.760 - Generated Packet 56 (size: 1448 bytes)
00:01.787 - Generated Packet 57 (size: 1448 bytes)
00:01.818 - Generated Packet 58 (size: 1448 bytes)
00:01.848 - Generated Packet 59 (size: 1448 bytes)
00:01.880 - Generated Packet 60 (size: 1448 bytes)
00:01.895 - Packet 27 (size: 1448 bytes) processed
00:01.911 - Generated Packet 61 (size: 1448 bytes)
00:01.941 - Generated Packet 62 (size: 1448 bytes)
